"","mergedColors"
"BAMBI","red"
"RSAD2","green"
"MYO5C","blue"
"TUBA4A","turquoise"
"NMRK1","brown"
"HES1","greenyellow"
"SEMA3E","turquoise"
"SYNGR2","turquoise"
"STAB1","red"
"CD83","greenyellow"
"LRMP","turquoise"
"ADAM19","turquoise"
"HLF","blue"
"FEM1C","green"
"SYNE2","green"
"IGFBP4","yellow"
"EZR","turquoise"
"SPAG4","turquoise"
"NLGN4Y","greenyellow"
"SMC2","brown"
"ADH1C","pink"
"IGF1","brown"
"ABI3BP","black"
"NR2F2","blue"
"PRSS23","magenta"
"TMCO3","black"
"GMNN","blue"
"MORC4","turquoise"
"TPM2","blue"
"ATOX1","turquoise"
"MAP4K1","turquoise"
"PRRC2A","green"
"EPB41L1","purple"
"LOC101928916 ","magenta"
"CD72","turquoise"
"MIR21 ","purple"
"FAM47E ","pink"
"ATM","turquoise"
"PLEKHA5","red"
"MEIS2","blue"
"RSBN1","yellow"
"ACAP2","yellow"
"TSR1","black"
"GNA15","turquoise"
"ZNF652","brown"
"SCML1","red"
"INSIG2","brown"
"MLF1","turquoise"
"WWTR1","yellow"
"GALNT1","pink"
"AKAP1","turquoise"
"KANK1","turquoise"
"CCNL2","black"
"SLC19A3","pink"
"KCNJ8","blue"
"SLCO4A1","brown"
"MIR6732 ","brown"
"PLS3","blue"
"PNMAL1","red"
"MXRA8","red"
"S100A13","blue"
"ZNF267","yellow"
"EBLN2","black"
"PTGFR","grey"
"SEMA5A","grey"
"ETNK1","brown"
"FAIM3","turquoise"
"KIAA1598","turquoise"
"MXI1","blue"
"MZF1","black"
"BAZ1A","purple"
"COL5A3","magenta"
"THBD","brown"
"CLDND1","green"
"MYL9","blue"
"DKFZP586I1420","black"
"RPS6KA1","turquoise"
"GUCY1A3","magenta"
"NOV","turquoise"
"PDGFRB","red"
"IFI30 ","turquoise"
"LYN","turquoise"
"CRY1","yellow"
"CORO2B","turquoise"
"NOC3L","purple"
"PLA2G4A","green"
"PHLPP1","blue"
"JMJD1C","yellow"
"RRAS2","red"
"TDG","yellow"
"ENPP4","yellow"
"SAR1B","yellow"
